,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-08-31,SMINKP03ACN2,SUKUK,192950000000.0,1,0,73000000000,3000000000,15000000000,1050000000,6000000000,94900000000,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
1,2023-09-29,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
2,2023-10-31,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
3,2023-11-30,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
4,2023-12-29,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
5,2024-01-31,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
6,2024-02-29,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
7,2024-03-28,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
8,2024-04-30,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
9,2024-05-31,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
10,2024-06-28,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
11,2024-07-31,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
12,2024-08-30,SMINKP03ACN2,SUKUK,192950000000.0,1,0,0,3000000000,0,1050000000,188900000000,0,0,0,192950000000,0,0,0,0,0,0,0,0,0,0
