,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,MORA01B,CORPORATE BOND,460000000000.0,1,130000000000,0,14000000000,0,0,316000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,MORA01B,CORPORATE BOND,460000000000.0,1,130000000000,0,14000000000,0,0,316000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,MORA01B,CORPORATE BOND,460000000000.0,1,150000000000,0,14000000000,0,0,296000000000,0,0,0,460000000000,0,0,0,0,0,0,0,0,0,0
