,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-12-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
1,2023-01-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
2,2023-02-28,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
3,2023-03-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
4,2023-04-28,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
5,2023-05-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
6,2023-06-27,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
7,2023-07-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
8,2023-08-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
9,2023-09-29,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
10,2023-10-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
11,2023-11-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
12,2023-12-29,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
13,2024-01-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
14,2024-02-29,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
15,2024-03-28,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
16,2024-04-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
17,2024-05-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
18,2024-06-28,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
19,2024-07-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
20,2024-08-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
21,2024-09-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
22,2024-10-31,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
23,2024-11-29,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,395000000000,11000000000,131000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
24,2024-12-30,BAFI02BCN2,CORPORATE BOND,545000000000.0,1,0,2000000000,6000000000,390000000000,11000000000,136000000000,0,0,0,545000000000,0,0,0,0,0,0,0,0,0,0
