,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-12-30,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
1,2023-01-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
2,2023-02-28,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
3,2023-03-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
4,2023-04-28,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
5,2023-05-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
6,2023-06-27,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
7,2023-07-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
8,2023-08-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
9,2023-09-29,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
10,2023-10-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
11,2023-11-30,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
12,2023-12-29,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
13,2024-01-31,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
14,2024-02-29,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
15,2024-03-28,PNBB01XXSCFS,SUKUK CROWD FUNDING,,1,0,0,0,0,488800000,0,0,2003300000,107900000,2600000000,0,0,0,0,0,0,0,0,0,0
