,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-10-31,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
1,2023-11-30,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
2,2023-12-29,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
3,2024-01-31,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
4,2024-02-29,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
5,2024-03-28,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
6,2024-04-30,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
7,2024-05-31,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
8,2024-06-28,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
9,2024-07-31,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
10,2024-08-30,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
11,2024-09-30,LPPI02ACN2,CORPORATE BOND,85740000000.0,1,0,0,1500000000,0,1160000000,82080000000,0,1000000000,0,85740000000,0,0,0,0,0,0,0,0,0,0
