,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-03-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,14977,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
1,2023-04-28,USD-PIDL01A1MF,TERM NOTES,3100000.0,14661,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
2,2023-05-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15003,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
3,2023-06-27,USD-PIDL01A1MF,TERM NOTES,3100000.0,15000,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
4,2023-07-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15092,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
5,2023-08-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15237,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
6,2023-09-29,USD-PIDL01A1MF,TERM NOTES,3100000.0,15487,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
7,2023-10-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15897,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
8,2023-11-30,USD-PIDL01A1MF,TERM NOTES,3100000.0,15484,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
9,2023-12-29,USD-PIDL01A1MF,TERM NOTES,3100000.0,15439,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
10,2024-01-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15803,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
11,2024-02-29,USD-PIDL01A1MF,TERM NOTES,3100000.0,15715,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
12,2024-03-28,USD-PIDL01A1MF,TERM NOTES,3100000.0,15873,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
13,2024-04-30,USD-PIDL01A1MF,TERM NOTES,3100000.0,16276,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
14,2024-05-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,16251,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
15,2024-06-28,USD-PIDL01A1MF,TERM NOTES,3100000.0,16394,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
16,2024-07-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,16294,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
17,2024-08-30,USD-PIDL01A1MF,TERM NOTES,3100000.0,15473,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
18,2024-09-30,USD-PIDL01A1MF,TERM NOTES,3100000.0,15144,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
19,2024-10-31,USD-PIDL01A1MF,TERM NOTES,3100000.0,15705,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
20,2024-11-29,USD-PIDL01A1MF,TERM NOTES,3100000.0,15856,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
21,2024-12-30,USD-PIDL01A1MF,TERM NOTES,3100000.0,16162,0,0,0,0,2300000,0,0,0,0,2300000,0,0,0,300000,0,0,0,0,500000,800000
