,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-03-28,USDOPPM01BCN3,CORPORATE BOND,1812000.0,15873,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
1,2024-04-30,USDOPPM01BCN3,CORPORATE BOND,1812000.0,16276,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
2,2024-05-31,USDOPPM01BCN3,CORPORATE BOND,1812000.0,16251,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
3,2024-06-28,USDOPPM01BCN3,CORPORATE BOND,1812000.0,16394,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
4,2024-07-31,USDOPPM01BCN3,CORPORATE BOND,1812000.0,16294,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
5,2024-08-30,USDOPPM01BCN3,CORPORATE BOND,1812000.0,15473,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
6,2024-09-30,USDOPPM01BCN3,CORPORATE BOND,1812000.0,15144,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
7,2024-10-31,USDOPPM01BCN3,CORPORATE BOND,1812000.0,15705,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
8,2024-11-29,USDOPPM01BCN3,CORPORATE BOND,1812000.0,15856,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
9,2024-12-30,USDOPPM01BCN3,CORPORATE BOND,1812000.0,16162,1000000,0,0,0,812000,0,0,0,0,1812000,0,0,0,0,0,0,0,0,0,0
